Category,PurchaseAmount
Books,18249
Clothing,4557
Clothing,11822
Food,4098
Clothing,19685
Electronics,2822
Clothing,3293
Books,21794
Clothing,5819
Food,8779
Home,16158
Electronics,13608
Clothing,2450
Books,5579
Books,12901
Clothing,9644
Clothing,21329
Food,7612
Clothing,3129
Electronics,12764
Beauty,17638
Clothing,12838
Food,3264
Electronics,12633
Food,11869
Electronics,2188
Food,11944
Clothing,12137
Electronics,15844
Electronics,15289
Food,2080
Clothing,11833
Beauty,4155
Clothing,4475
Electronics,5888
Electronics,14083
Electronics,16783
Health,17967
Home,9505
Electronics,17595
Electronics,12690
Electronics,1693
Clothing,4842
Food,5347
Books,11293
Clothing,16596
Electronics,2394
Clothing,16856
Food,5197
Electronics,12967
Electronics,12114
Clothing,8649
Health,3079
Food,7587
Clothing,6884
Electronics,1987
Electronics,18416
Electronics,20515
Food,3895
Electronics,5046
Electronics,2908
Books,8066
Books,13341
Home,6020
Food,2301
Electronics,3708
Clothing,12038
Clothing,8146
Books,13002
Books,6617
Food,8973
Health,20296
Electronics,5486
Electronics,10110
Electronics,11083
Electronics,2939
Electronics,4059
Clothing,2916
Home,9814
Food,9535
Home,9536
Health,2236
Electronics,3542
Clothing,18843
Clothing,12915
Clothing,2101
Electronics,5398
Health,9408
Clothing,13186
Electronics,11223
Food,6960
Clothing,11462
Electronics,6759
Electronics,9433
Electronics,2115
Electronics,2441
Food,10354
Clothing,2387
Clothing,1676
Clothing,1728
Books,10705
Clothing,15266
Clothing,5272
Electronics,1568
Health,10044
Health,1984
Books,3001
Food,11216
Books,9438
Books,15534
Health,18507
Books,8568
Books,9744
Electronics,4762
Books,4289
Electronics,19903
Electronics,9083
Electronics,10879
Books,4327
Books,8860
Health,10755
Clothing,6518
Health,10395
Books,1888
Electronics,20447
Clothing,7882
Clothing,17394
Home,13669
Clothing,3227
Books,9690
Electronics,7785
Health,11395
Food,10343
Electronics,13781
Electronics,11408
Books,9936
Books,9547
Beauty,10766
Beauty,17373
Clothing,15874
Electronics,6098
Clothing,13441
Books,18931
Health,13086
Electronics,11515
Food,13114
Food,19674
Electronics,12844
Electronics,6937
Electronics,3085
Clothing,10573
Clothing,9307
Health,3330
Electronics,14639
Electronics,10921
Electronics,3966
Clothing,11283
Home,16513
Home,12462
Electronics,4345
Health,11767
Books,7435
Health,6986
Books,18143
Electronics,2659
Food,4785
Beauty,13142
Food,16278
Books,12272
Clothing,5900
Clothing,13751
Books,14141
Electronics,15514
Electronics,3995
Electronics,12657
Health,2110
Electronics,19672
Clothing,12097
Clothing,7104
Food,13374
Clothing,9764
Electronics,18203
Clothing,3110
Electronics,6691
Electronics,10566
Books,8423
Food,3337
Health,10313
Books,10525
Clothing,10428
Clothing,8916
Electronics,7561
Electronics,2841
Books,3073
Electronics,11964
Books,17092
Books,6493
Clothing,4259
Electronics,11418
Clothing,15823
Beauty,11286
Electronics,8343
Beauty,4654
Books,8609
Clothing,3600
Clothing,18073
Clothing,2311
Books,16081
Electronics,12032
Clothing,9450
Electronics,12160
Books,13738
Food,3178
Food,8439
Clothing,11142
Electronics,8019
Electronics,16810
Books,7789
Electronics,18283
Clothing,11514
Food,15517
Clothing,8315
Electronics,5726
Health,15433
Books,8674
Books,8043
Clothing,11448
Clothing,12238
Books,12552
Electronics,13074
Health,15588
Food,10836
Electronics,20051
Electronics,2167
Books,10599
Food,2749
Electronics,14540
Electronics,6048
Clothing,8536
Food,2668
Electronics,3473
Food,6930
Health,12194
Electronics,9663
Health,6657
Beauty,13107
Electronics,5133
Clothing,6429
Electronics,8260
Electronics,4354
Electronics,10562
Food,20269
Books,12105
Books,15486
Health,10274
Clothing,4868
Clothing,2623
Books,9754
Clothing,5408
Beauty,15480
Clothing,10382
Books,1771
Electronics,15190
Food,16756
Food,19849
Electronics,12318
Food,11767
Electronics,12768
Food,10312
Electronics,16062
Electronics,5591
Electronics,3274
Health,12738
Home,13016
Health,12406
Electronics,6997
Clothing,3556
Food,6872
Food,6081
Electronics,2700
Electronics,16697
Food,9219
Clothing,12287
Beauty,6500
Books,13047
Electronics,14734
Food,9737
Clothing,13508
Clothing,10512
Electronics,8147
Books,3315
Electronics,10382
Home,15809
Food,4884
Books,12715
Health,5670
Electronics,12100
Clothing,9676
Food,12683
Health,8926
Electronics,2057
Clothing,7050
Electronics,3117
Electronics,8868
Electronics,5126
Electronics,2301
Food,6887
Electronics,8190
Books,13352
Books,10912
Electronics,9610
Electronics,9973
Books,9539
Electronics,2054
Clothing,15244
Beauty,14109
Beauty,16170
Books,11624
Books,5706
Electronics,2926
Books,12680
Books,11264
Food,5937
Electronics,2976
Health,15993
Clothing,18177
Clothing,13642
Books,10801
Clothing,16138
Clothing,4709
Electronics,7294
Clothing,14033
Health,13664
Books,10953
Electronics,8024
Beauty,7759
Beauty,2316
Beauty,15592
Food,14809
Food,7372
Food,16859
Electronics,10114
Books,10937
Food,3538
Food,14408
Food,6142
Clothing,14341
Electronics,15517
Health,9615
Electronics,2589
Beauty,13098
Clothing,8405
Books,7874
Electronics,3372
Beauty,4717
Home,3629
Clothing,3955
Health,4031
Clothing,12627
Electronics,5845
Electronics,4364
Electronics,2473
Home,12682
Electronics,12173
Food,5693
Books,17856
Electronics,5765
Books,10259
Books,15578
Clothing,4038
Clothing,1753
Books,4665
Clothing,7806
Electronics,11805
Food,10615
Food,7323
Books,5510
Electronics,6478
Clothing,13794
Electronics,17362
Health,7418
Electronics,13045
Books,13315
Clothing,13282
Beauty,12289
Food,13351
Books,6412
Health,15991
Beauty,4487
Electronics,10499
Books,16165
Books,6796
Books,5345
Books,17274
Food,5348
Electronics,1729
Health,15992
Electronics,7130
Food,12982
Electronics,2275
Beauty,12264
Books,12387
Books,6827
Electronics,8375
Books,5131
Electronics,12277
